,old_name,new_name,status,note,old_folder
96,02110197.JPG,Hbwtr_w4_20210211_115820.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
97,02120199.JPG,Hbwtr_w4_20210212_115819.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
98,02130201.JPG,Hbwtr_w4_20210213_115818.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
99,02140203.JPG,Hbwtr_w4_20210214_115817.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
100,02150205.JPG,Hbwtr_w4_20210215_115816.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
101,02160207.JPG,Hbwtr_w4_20210216_115815.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
102,02170209.JPG,Hbwtr_w4_20210217_115814.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
103,02180211.JPG,Hbwtr_w4_20210218_115812.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
104,02190213.JPG,Hbwtr_w4_20210219_115811.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
105,02200215.JPG,Hbwtr_w4_20210220_115810.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
106,02210217.JPG,Hbwtr_w4_20210221_115809.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
107,02220219.JPG,Hbwtr_w4_20210222_115808.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
108,02230221.JPG,Hbwtr_w4_20210223_115807.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
109,02240223.JPG,Hbwtr_w4_20210224_115806.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
110,02250225.JPG,Hbwtr_w4_20210225_115804.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
111,02260227.JPG,Hbwtr_w4_20210226_115803.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
112,02260229.JPG,Hbwtr_w4_20210226_120503.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
113,02270230.JPG,Hbwtr_w4_20210227_120002.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
114,02280232.JPG,Hbwtr_w4_20210228_120001.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
115,03010234.JPG,Hbwtr_w4_20210301_120000.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
116,03020236.JPG,Hbwtr_w4_20210302_115959.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
117,03030239.JPG,Hbwtr_w4_20210303_120457.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
118,03040240.JPG,Hbwtr_w4_20210304_115956.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
119,03050243.JPG,Hbwtr_w4_20210305_120455.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
120,03060244.JPG,Hbwtr_w4_20210306_115954.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
121,03070246.JPG,Hbwtr_w4_20210307_115953.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
122,03080248.JPG,Hbwtr_w4_20210308_115952.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
123,03090250.JPG,Hbwtr_w4_20210309_115951.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
124,03100252.JPG,Hbwtr_w4_20210310_115950.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
125,03110254.JPG,Hbwtr_w4_20210311_115948.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
126,03120256.JPG,Hbwtr_w4_20210312_115947.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
127,03130258.JPG,Hbwtr_w4_20210313_115946.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
128,03140260.JPG,Hbwtr_w4_20210314_115945.JPG,renamed,,/content/drive/MyDrive/2_Camera Trap photos/COPY of data for script/Newly_uploaded_data/W4  GC Channel 11-6-20 thru 5-9-21
